structure,conf,functional,basis_set,gibbs,atom,nucleus,shift,weight,weighted_shift
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,1,c,60.427,3.559e-06,0.000215
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,3,c,77.361,3.559e-06,0.0002753
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,4,c,71.32,3.559e-06,0.0002538
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,5,c,80.462,3.559e-06,0.0002863
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,7,c,175.756,3.559e-06,0.0006254
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,10,c,25.339,3.559e-06,9.017e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,11,c,35.153,3.559e-06,0.0001251
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,13,c,58.794,3.559e-06,0.0002092
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,14,c,174.034,3.559e-06,0.0006193
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,16,c,137.661,3.559e-06,0.0004899
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,17,c,128.84,3.559e-06,0.0004585
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,18,c,140.341,3.559e-06,0.0004994
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,19,c,141.069,3.559e-06,0.000502
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,20,c,129.271,3.559e-06,0.00046
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,21,c,138.166,3.559e-06,0.0004917
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,22,h,8.132,3.559e-06,2.894e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,23,h,8.078,3.559e-06,2.875e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,24,h,8.085,3.559e-06,2.877e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,25,h,8.148,3.559e-06,2.899e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,26,c,176.069,3.559e-06,0.0006266
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,28,c,174.484,3.559e-06,0.0006209
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,30,h,1.229,3.559e-06,4.375e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,31,h,2.456,3.559e-06,8.739e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,32,h,1.384,3.559e-06,4.925e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,33,h,1.48,3.559e-06,5.267e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,34,h,1.981,3.559e-06,7.049e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,35,h,1.431,3.559e-06,5.091e-06
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,36,h,5.62,3.559e-06,2e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,37,h,5.617,3.559e-06,1.999e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,38,h,4.048,3.559e-06,1.441e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,39,h,4.025,3.559e-06,1.432e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,40,h,4.482,3.559e-06,1.595e-05
1,1,B3LYP,"6-311+G(2d, p)",-967260.526,41,h,4.123,3.559e-06,1.467e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,1,c,60.426,3.473e-06,0.0002099
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,3,c,77.362,3.473e-06,0.0002687
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,4,c,71.313,3.473e-06,0.0002477
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,5,c,80.469,3.473e-06,0.0002795
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,7,c,175.764,3.473e-06,0.0006104
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,10,c,25.341,3.473e-06,8.801e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,11,c,35.15,3.473e-06,0.0001221
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,13,c,58.793,3.473e-06,0.0002042
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,14,c,174.035,3.473e-06,0.0006044
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,16,c,138.166,3.473e-06,0.0004798
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,17,c,129.27,3.473e-06,0.0004489
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,18,c,141.062,3.473e-06,0.0004899
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,19,c,140.328,3.473e-06,0.0004873
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,20,c,128.841,3.473e-06,0.0004474
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,21,c,137.661,3.473e-06,0.0004781
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,22,h,8.148,3.473e-06,2.83e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,23,h,8.086,3.473e-06,2.808e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,24,h,8.078,3.473e-06,2.805e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,25,h,8.132,3.473e-06,2.824e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,26,c,174.483,3.473e-06,0.000606
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,28,c,176.07,3.473e-06,0.0006115
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,30,h,1.229,3.473e-06,4.268e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,31,h,2.456,3.473e-06,8.529e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,32,h,1.385,3.473e-06,4.808e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,33,h,1.48,3.473e-06,5.139e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,34,h,1.98,3.473e-06,6.876e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,35,h,1.431,3.473e-06,4.968e-06
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,36,h,5.621,3.473e-06,1.952e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,37,h,5.617,3.473e-06,1.951e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,38,h,4.048,3.473e-06,1.406e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,39,h,4.025,3.473e-06,1.398e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,40,h,4.48,3.473e-06,1.556e-05
1,2,B3LYP,"6-311+G(2d, p)",-967260.502,41,h,4.124,3.473e-06,1.432e-05
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,1,c,64.072,0.08037,5.15
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,3,c,72.471,0.08037,5.825
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,4,c,79.51,0.08037,6.391
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,5,c,79.31,0.08037,6.374
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,7,c,174.444,0.08037,14.02
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,10,c,28.607,0.08037,2.299
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,11,c,31.053,0.08037,2.496
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,13,c,55.792,0.08037,4.484
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,14,c,174.372,0.08037,14.02
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,16,c,137.352,0.08037,11.04
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,17,c,128.944,0.08037,10.36
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,18,c,140.489,0.08037,11.29
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,19,c,141.005,0.08037,11.33
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,20,c,129.067,0.08037,10.37
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,21,c,138.433,0.08037,11.13
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,22,h,8.14,0.08037,0.6543
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,23,h,8.077,0.08037,0.6492
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,24,h,8.089,0.08037,0.6501
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,25,h,8.159,0.08037,0.6558
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,26,c,176.49,0.08037,14.19
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,28,c,175.361,0.08037,14.09
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,30,h,1.589,0.08037,0.1277
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,31,h,2.765,0.08037,0.2223
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,32,h,1.27,0.08037,0.1021
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,33,h,1.641,0.08037,0.1319
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,34,h,1.453,0.08037,0.1168
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,35,h,2.108,0.08037,0.1695
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,36,h,5.685,0.08037,0.4569
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,37,h,5.337,0.08037,0.4289
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,38,h,4.282,0.08037,0.3442
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,39,h,3.944,0.08037,0.317
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,40,h,3.764,0.08037,0.3026
1,3,B3LYP,"6-311+G(2d, p)",-967270.551,41,h,4.023,0.08037,0.3233
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,1,c,64.073,0.08095,5.187
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,3,c,72.471,0.08095,5.867
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,4,c,79.504,0.08095,6.436
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,5,c,79.307,0.08095,6.42
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,7,c,174.451,0.08095,14.12
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,10,c,28.607,0.08095,2.316
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,11,c,31.052,0.08095,2.514
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,13,c,55.792,0.08095,4.516
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,14,c,174.371,0.08095,14.12
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,16,c,138.441,0.08095,11.21
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,17,c,129.066,0.08095,10.45
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,18,c,141.01,0.08095,11.42
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,19,c,140.494,0.08095,11.37
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,20,c,128.942,0.08095,10.44
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,21,c,137.352,0.08095,11.12
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,22,h,8.158,0.08095,0.6604
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,23,h,8.089,0.08095,0.6548
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,24,h,8.077,0.08095,0.6538
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,25,h,8.141,0.08095,0.659
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,26,c,175.362,0.08095,14.2
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,28,c,176.493,0.08095,14.29
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,30,h,1.27,0.08095,0.1028
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,31,h,1.589,0.08095,0.1287
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,32,h,2.766,0.08095,0.2239
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,33,h,1.641,0.08095,0.1328
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,34,h,1.453,0.08095,0.1176
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,35,h,2.107,0.08095,0.1706
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,36,h,5.685,0.08095,0.4602
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,37,h,5.337,0.08095,0.432
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,38,h,4.282,0.08095,0.3466
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,39,h,3.764,0.08095,0.3047
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,40,h,4.023,0.08095,0.3256
1,4,B3LYP,"6-311+G(2d, p)",-967270.559,41,h,3.944,0.08095,0.3193
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,1,c,61.097,0.06493,3.967
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,3,c,76.39,0.06493,4.96
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,4,c,78.248,0.06493,5.08
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,5,c,81.983,0.06493,5.323
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,7,c,173.49,0.06493,11.26
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,10,c,24.693,0.06493,1.603
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,11,c,34.693,0.06493,2.252
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,13,c,54.561,0.06493,3.542
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,14,c,177.317,0.06493,11.51
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,16,c,138.262,0.06493,8.977
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,17,c,128.98,0.06493,8.374
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,18,c,140.884,0.06493,9.147
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,19,c,140.31,0.06493,9.11
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,20,c,128.921,0.06493,8.37
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,21,c,137.597,0.06493,8.934
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,22,h,8.17,0.06493,0.5304
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,23,h,8.104,0.06493,0.5262
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,24,h,8.09,0.06493,0.5252
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,25,h,8.137,0.06493,0.5283
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,26,c,174.432,0.06493,11.33
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,28,c,176.503,0.06493,11.46
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,30,h,1.436,0.06493,0.09326
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,31,h,1.515,0.06493,0.09839
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,32,h,1.458,0.06493,0.09466
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,33,h,1.487,0.06493,0.09653
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,34,h,1.958,0.06493,0.1271
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,35,h,1.485,0.06493,0.0964
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,36,h,5.577,0.06493,0.3621
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,37,h,5.59,0.06493,0.363
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,38,h,3.822,0.06493,0.2482
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,39,h,4.278,0.06493,0.2778
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,40,h,3.959,0.06493,0.257
1,5,B3LYP,"6-311+G(2d, p)",-967270.338,41,h,3.885,0.06493,0.2523
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,1,c,61.102,0.06382,3.899
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,3,c,76.391,0.06382,4.875
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,4,c,78.247,0.06382,4.993
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,5,c,81.98,0.06382,5.232
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,7,c,173.491,0.06382,11.07
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,10,c,24.691,0.06382,1.576
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,11,c,34.691,0.06382,2.214
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,13,c,54.562,0.06382,3.482
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,14,c,177.317,0.06382,11.32
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,16,c,137.595,0.06382,8.781
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,17,c,128.922,0.06382,8.227
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,18,c,140.305,0.06382,8.954
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,19,c,140.877,0.06382,8.99
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,20,c,128.979,0.06382,8.231
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,21,c,138.257,0.06382,8.823
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,22,h,8.137,0.06382,0.5193
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,23,h,8.09,0.06382,0.5163
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,24,h,8.104,0.06382,0.5172
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,25,h,8.17,0.06382,0.5214
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,26,c,176.504,0.06382,11.26
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,28,c,174.43,0.06382,11.13
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,30,h,1.436,0.06382,0.09166
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,31,h,1.516,0.06382,0.09674
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,32,h,1.458,0.06382,0.09302
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,33,h,1.486,0.06382,0.09486
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,34,h,1.958,0.06382,0.125
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,35,h,1.485,0.06382,0.09474
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,36,h,5.577,0.06382,0.3559
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,37,h,5.591,0.06382,0.3568
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,38,h,3.822,0.06382,0.2439
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,39,h,3.886,0.06382,0.248
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,40,h,4.278,0.06382,0.273
1,6,B3LYP,"6-311+G(2d, p)",-967270.321,41,h,3.958,0.06382,0.2526
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,1,c,60.604,0.0116,0.7028
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,3,c,76.47,0.0116,0.8868
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,4,c,75.186,0.0116,0.8719
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,5,c,82.636,0.0116,0.9583
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,7,c,172.534,0.0116,2.001
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,10,c,25.238,0.0116,0.2927
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,11,c,34.61,0.0116,0.4014
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,13,c,56.071,0.0116,0.6502
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,14,c,174.575,0.0116,2.025
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,16,c,138.088,0.0116,1.601
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,17,c,129.11,0.0116,1.497
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,18,c,141.129,0.0116,1.637
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,19,c,140.588,0.0116,1.63
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,20,c,128.802,0.0116,1.494
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,21,c,137.497,0.0116,1.595
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,22,h,8.176,0.0116,0.09482
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,23,h,8.104,0.0116,0.09398
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,24,h,8.075,0.0116,0.09364
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,25,h,8.142,0.0116,0.09442
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,26,c,174.546,0.0116,2.024
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,28,c,176.399,0.0116,2.046
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,30,h,1.4,0.0116,0.01623
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,31,h,1.603,0.0116,0.01859
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,32,h,1.452,0.0116,0.01683
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,33,h,1.507,0.0116,0.01748
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,34,h,2.001,0.0116,0.0232
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,35,h,1.509,0.0116,0.0175
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,36,h,5.604,0.0116,0.06498
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,37,h,5.567,0.0116,0.06456
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,38,h,3.942,0.0116,0.04572
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,39,h,3.705,0.0116,0.04297
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,40,h,3.941,0.0116,0.04571
1,7,B3LYP,"6-311+G(2d, p)",-967268.615,41,h,4.019,0.0116,0.04661
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,1,c,60.597,0.0122,0.739
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,3,c,76.473,0.0122,0.9327
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,4,c,75.186,0.0122,0.917
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,5,c,82.63,0.0122,1.008
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,7,c,172.543,0.0122,2.104
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,10,c,25.235,0.0122,0.3078
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,11,c,34.603,0.0122,0.422
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,13,c,56.072,0.0122,0.6838
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,14,c,174.577,0.0122,2.129
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,16,c,137.493,0.0122,1.677
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,17,c,128.805,0.0122,1.571
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,18,c,140.59,0.0122,1.715
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,19,c,141.13,0.0122,1.721
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,20,c,129.111,0.0122,1.575
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,21,c,138.082,0.0122,1.684
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,22,h,8.142,0.0122,0.0993
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,23,h,8.075,0.0122,0.09848
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,24,h,8.104,0.0122,0.09883
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,25,h,8.176,0.0122,0.09972
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,26,c,176.398,0.0122,2.151
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,28,c,174.548,0.0122,2.129
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,30,h,1.603,0.0122,0.01955
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,31,h,1.451,0.0122,0.0177
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,32,h,1.399,0.0122,0.01707
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,33,h,1.507,0.0122,0.01838
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,34,h,2.001,0.0122,0.02441
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,35,h,1.508,0.0122,0.0184
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,36,h,5.604,0.0122,0.06835
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,37,h,5.567,0.0122,0.0679
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,38,h,3.942,0.0122,0.04808
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,39,h,3.705,0.0122,0.04519
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,40,h,3.942,0.0122,0.04807
1,8,B3LYP,"6-311+G(2d, p)",-967268.666,41,h,4.019,0.0122,0.04902
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,1,c,64.516,0.2605,16.8
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,3,c,72.45,0.2605,18.87
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,4,c,75.98,0.2605,19.79
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,5,c,80.076,0.2605,20.86
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,7,c,175.228,0.2605,45.64
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,10,c,28.396,0.2605,7.396
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,11,c,31.072,0.2605,8.093
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,13,c,56.071,0.2605,14.6
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,14,c,175.693,0.2605,45.76
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,16,c,138.142,0.2605,35.98
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,17,c,129.231,0.2605,33.66
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,18,c,141.349,0.2605,36.81
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,19,c,141.006,0.2605,36.73
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,20,c,128.944,0.2605,33.58
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,21,c,137.185,0.2605,35.73
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,22,h,8.172,0.2605,2.128
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,23,h,8.106,0.2605,2.111
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,24,h,8.071,0.2605,2.102
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,25,h,8.152,0.2605,2.123
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,26,c,175.215,0.2605,45.64
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,28,c,176.437,0.2605,45.95
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,30,h,2.589,0.2605,0.6744
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,31,h,1.195,0.2605,0.3113
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,32,h,1.922,0.2605,0.5005
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,33,h,1.627,0.2605,0.4239
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,34,h,1.38,0.2605,0.3595
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,35,h,2.132,0.2605,0.5553
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,36,h,5.69,0.2605,1.482
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,37,h,5.355,0.2605,1.395
1,9,B3LYP,"6-311+G(2d, p)",-967271.727,38,h,4.118,0.2605,1.073
